"id","company","repository","stage","round_size","year","month","lead_investor","has_repo","has_github","github_name","date","link"
"353","Robin","https://github.com/kubernetes/kubernetes","C","38.00","2021","6","Rakuten","1","1","kubernetes/kubernetes","2021-06-01 00:00:00","https://robin.io/press/robin-io-to-capitalize-on-rapid-adoption-of-cloud-native-technology-across-5g-and-enterprise-with-38-million-series-c-led-by-rakuten-capital/"
"354","Robocorp","https://github.com/robotframework/robotframework","B","21.00","2021","6","Canvas Ventures","1","1","robotframework/robotframework","2021-06-01 00:00:00","https://robocorp.com/blog/robocorp-closes-21-million-series-a/"
"355","Robocorp","https://github.com/robotframework/robotframework","Seed","5.50","2020","5","Benchmark","1","1","robotframework/robotframework","2020-05-01 00:00:00","https://robocorp.com/news/funding-ahead-of-ga-release"
"356","Rocicorp","https://github.com/rocicorp/replicache","Seed","7.00","2022","4","Elad Gil","1","1","rocicorp/replicache","2022-04-01 00:00:00","https://twitter.com/aboodman/status/1519094287668981760"
"357","Rocket.Chat","https://github.com/RocketChat/Rocket.Chat","A","19.00","2021","2","Valor Capital Group","1","1","RocketChat/Rocket.Chat","2021-02-01 00:00:00","https://techcrunch.com/2021/02/03/rocket-chat-raises-19m-for-its-open-source-approach-to-integrated-enterprise-messaging/amp/"
"358","Rockset","https://github.com/facebook/rocksdb","B","40.00","2020","10","Sequoia Capital","1","1","facebook/rocksdb","2020-10-01 00:00:00","https://rockset.com/blog/rockset-raises-40m-series-b-real-time-analytics/"
"359","Rome Tools","https://github.com/rome/tools","Seed","4.50","2021","5","osS Capital","1","1","rome/tools","2021-05-01 00:00:00","https://rome.tools/blog/announcing-rome-tools-inc/"
"360","RudderStack","https://github.com/rudderlabs/rudder-server","Seed","5.00","2020","5","S28","1","1","rudderlabs/rudder-server","2020-05-01 00:00:00","https://techcrunch.com/2020/05/27/rudderstack-raises-5m-seed-round-for-its-open-source-segment-competitor/"
"361","RudderStack","https://github.com/rudderlabs/rudder-server","A","21.00","2021","6","Kleiner Perkins","1","1","rudderlabs/rudder-server","2021-06-01 00:00:00","https://rudderstack.com/blog/RudderStack-Announces-Series-A-and-Launches-RSDX-CDP-for-Developers/"
"362","RudderStack","https://github.com/rudderlabs/rudder-server","B","56.00","2022","2","Insight Partners","1","1","rudderlabs/rudder-server","2022-02-01 00:00:00","https://www.finsmes.com/2022/02/rudderstack-raises-56m-in-series-b-funding.html"
"363","Rumble","https://github.com/RumbleDiscovery","A","15.00","2022","3","Decibel","0","1","RumbleDiscovery","2022-03-01 00:00:00","https://www.rumble.run/press/series-a-funding/"
"364","Rumble","https://github.com/RumbleDiscovery","Seed","5.00","2021","3","Decibel","0","1","RumbleDiscovery","2021-03-01 00:00:00","https://www.rumble.run/press/decibel-funding/"
"365","RunX","https://github.com/run-x/opta","Seed","4.10","2021","10","Unusual Ventures","1","1","run-x/opta","2021-10-01 00:00:00","https://techcrunch.com/2021/09/28/runx-announces-4-1m-seed-to-simplify-cloud-infrastructure-deployment-for-developers/"
"366","Saleor","Saleor","Seed","2.50","2021","3","Cherry Ventures","0","0","","2021-03-01 00:00:00","https://techcrunch.com/2021/03/18/saleor/"
"367","Salto","https://github.com/salto-io/salto","B","42.00","2021","5","Accel","1","1","salto-io/salto","2021-05-01 00:00:00","https://venturebeat.com/2021/05/19/salto-spices-up-its-saas-app-tracking-for-enterprises-with-42m-raise/"
"368","Sanity","https://github.com/sanity-io/sanity","A","9.30","2020","10","Threshold Ventures","1","1","sanity-io/sanity","2020-10-01 00:00:00","https://www.sanity.io/blog/redefining-content-collaboration"
"369","Sanity","https://github.com/sanity-io/sanity","B","39.00","2021","6","ICONIQ","1","1","sanity-io/sanity","2021-06-01 00:00:00","https://www.sanity.io/blog/it-takes-a-village"
"370","Scarf","https://github.com/scarf-sh","Seed","5.30","2021","12","Rae Capital, Freestyle Capital","0","1","scarf-sh","2021-12-01 00:00:00","https://www.businesswire.com/news/home/20211215005087/en/Scarf-Takes-Total-Funding-to-7.3M-for-its-Sophisticated-Approach-to-Open-Source-Analytics"
"371","Seqera Labs","https://github.com/nextflow-io/nextflow","Seed","5.50","2021","9","Talis Capital, Speedinvest","1","1","nextflow-io/nextflow","2021-09-01 00:00:00","https://www.seqera.io/news/seqera-labs-announces-5-5M-seed-round/"
"372","Seldon","https://github.com/SeldonIO/seldon-core","A","9.40","2020","11","Albion VC","1","1","SeldonIO/seldon-core","2020-11-01 00:00:00","https://www.seldon.io/seldon-raises-7-1m-series-a/"
"373","SeMI Technologies","https://github.com/weaviate/weaviate","A","16.00","2022","2","NEA","1","1","semi-technologies/weaviate","2022-02-01 00:00:00","https://finance.yahoo.com/news/semi-technologies-16m-series-round-141500875.html"
"374","Sentry","https://github.com/getsentry/sentry","E","90.00","2022","5","Bond","1","1","getsentry/sentry","2022-05-01 00:00:00","https://sentry.io/about/press-releases/sentry-raises-90-million-in-series-e-funding-to-expand-and-drive-adoption-of-developer-first-application-monitoring/"
"375","Sentry","https://github.com/getsentry/sentry","D","60.00","2021","2","Accel","1","1","getsentry/sentry","2021-02-01 00:00:00","https://www.businesswire.com/news/home/20210218005662/en/Sentry-Raises-60-Million-in-Series-D-Funding-at-1-Billion-Valuation"
"376","Serverless Stack","https://github.com/AnomalyInnovations/serverless-stack-com","Seed","1.00","2021","7","Greylock","1","1","AnomalyInnovations/serverless-stack-com","2021-07-01 00:00:00","https://serverless-stack.com/blog/serverless-stack-raises-1m-to-make-it-easy-to-build-serverless-apps.html"
"377","Shipa","https://github.com/kubernetes/kubernetes","Seed","3.80","2020","11","Engineering Capital","1","1","kubernetes/kubernetes","2020-11-01 00:00:00","https://siliconangle.com/2020/10/08/shipa-debuts-cloud-native-application-management-framework/"
"378","Shopware","https://github.com/symfony/symfony","Growth","100.00","2022","2","Carlyle, Paypal","1","1","symfony/symfony","2022-02-01 00:00:00","https://www.shopware.com/en/investment/"
"379","Sifive","RISC-V","E","61.00","2020","8","SK Hynix","0","0","","2020-08-01 00:00:00","https://www.sifive.com/press/sifive-secures-61-million-in-series-e-funding"
"380","SiFive","RISC-V","F","175.00","2022","3","Coatue","0","0","","2022-03-01 00:00:00","https://www.theregister.com/2022/03/16/sifive_175m_series_f/"
"381","Signadot","https://github.com/kubernetes/kubernetes","Seed","4.00","2022","2","Redpoint Ventures","1","1","kubernetes/kubernetes","2022-02-01 00:00:00","https://signadot.com/blog/announcing-public-beta/"
"382","SignalWire","https://github.com/signalwire/freeswitch","B","5.00","2022","3","TMobile","1","1","signalwire/freeswitch","2022-03-01 00:00:00","https://signalwire.com/blogs/press/signalwire-receives-new-investment-from-t-mobile-ventures"
"383","SkyWater Technology","https://opensource.googleblog.com","Seed","15.00","2022","7","U.S. Department of Defense","0","0","","2022-07-01 00:00:00","https://www.businesswire.com/news/home/20220728005414/en/SkyWater-Receives-Funding-from-DOD-Partners-with-Google-to-Facilitate-Open-Source-Design-for-its-new-90-nm-Technology-Offering"
"384","Slim.ai","https://github.com/docker","Seed","6.60","2021","1","boldstart ventures","0","1","docker","2021-01-01 00:00:00","https://medium.com/boldstart-ventures/delivering-containerized-applications-faster-excited-to-announce-boldstarts-investment-in-slim-ai-fd0fa3087b6b"
"385","SlimAI","https://github.com/slimtoolkit/slim","A","31.00","2022","1","Insight Partners","1","1","docker-slim/docker-slim","2022-01-01 00:00:00","https://www.slim.ai/blog/slim-ai-series-a-announcement.html"
"386","Smallstep","https://github.com/smallstep/certificates","A","26.00","2022","4","StepStone Group","1","1","smallstep/certificates","2022-04-01 00:00:00","https://smallstep.com/blog/how-we-got-here-smallstep-raises-series-a-funding/"
"387","Snorkel AI","https://github.com/snorkel-team/snorkel","B","35.00","2021","4","Lightspeed","1","1","snorkel-team/snorkel","2021-04-01 00:00:00","https://snorkel.ai/introducing-application-studio/#heading_3"
"388","Snorkel AI","https://github.com/snorkel-team/snorkel","A","15.30","2020","7","GV","1","1","snorkel-team/snorkel","2020-07-01 00:00:00","https://www.finsmes.com/2020/07/snorkel-ai-raises-15m-in-funding.html"
"389","Snorkel AI","https://github.com/snorkel-team/snorkel","C","85.00","2021","8","Addition","1","1","snorkel-team/snorkel","2021-08-01 00:00:00","https://snorkel.ai/85-million-series-c-accelerating-data-centric-ai-enterprise/"
"390","Snowplow","https://github.com/snowplow/snowplow","B","40.00","2022","7","NEA","1","1","snowplow/snowplow","2022-07-01 00:00:00","https://snowplowanalytics.com/blog/2022/06/30/snowplow-announces-series-b/"
"391","Snowplow","https://github.com/snowplow/snowplow","A","10.00","2021","1","Alantic Bridge","1","1","snowplow/snowplow","2021-01-01 00:00:00","https://snowplowanalytics.com/blog/2021/01/12/snowplow-analytics-raises-10-million-in-series-a2-funding/"
